LG,RF,DTB,AB
0.9759615384615384,0.9631410256410255,0.9503205128205128,0.9775641025641024
0.9760108359217332,0.963258010748313,0.9505499509142166,0.9776146153443396
"[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.01515152 0.01515152 0.01893939
 0.01893939 0.02272727 0.02272727 0.03787879 0.03787879 0.04545455
 0.04545455 0.06818182 0.06818182 0.07954545 0.07954545 1.        ]","[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.01893939 0.01893939 0.02272727
 0.02272727 0.02651515 0.02651515 0.03409091 0.03409091 0.04166667
 0.04166667 0.04545455 0.04545455 0.08333333 0.08333333 0.09469697
 0.09469697 0.26515152 0.26515152 1.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00378788 0.00378788 0.00378788 0.00378788 0.00378788 0.00378788
 0.00378788 0.00378788 0.00378788 0.00378788 0.00378788 0.00378788
 0.00378788 0.00378788 0.00757576 0.00757576 0.01136364 0.01136364
 0.01515152 0.01515152 0.01893939 0.01893939 0.02651515 0.02651515
 0.03030303 0.03030303 0.03409091 0.03409091 0.04545455 0.04545455
 0.04924242 0.04924242 0.06439394 0.06439394 0.06818182 0.06818182
 0.09469697 0.10984848 0.11363636 0.12878788 0.14393939 0.14772727
 0.15151515 0.15151515 0.18181818 0.18181818 0.18560606 0.19318182
 0.25757576 0.27272727 0.33712121 0.34848485 0.35606061 0.37878788
 0.38257576 0.39015152 0.40530303 0.41287879 0.42045455 0.43560606
 0.45075758 0.47727273 0.49621212 0.50757576 0.51893939 0.52651515
 0.53787879 0.54545455 0.55681818 0.56818182 0.57575758 0.59469697
 0.60984848 0.625      0.62878788 0.63636364 0.64015152 0.65151515
 0.6780303  0.69318182 0.6969697  0.74621212 0.75757576 0.76136364
 0.76893939 0.78030303 0.78787879 0.81060606 0.81818182 0.84090909
 0.84848485 0.85984848 0.86363636 0.875      0.89015152 0.90530303
 0.90909091 0.92045455 0.93560606 0.94318182 1.        ]","[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.03409091 0.03409091 0.03787879
 0.03787879 0.0530303  0.0530303  0.09469697 0.09469697 0.32954545
 0.32954545 1.        ]"
"[0.         0.00277778 0.84444444 0.84444444 0.96388889 0.96388889
 0.96666667 0.96666667 0.98055556 0.98055556 0.98333333 0.98333333
 0.98611111 0.98611111 0.98888889 0.98888889 0.99166667 0.99166667
 0.99444444 0.99444444 0.99722222 0.99722222 1.         1.        ]","[0.         0.00277778 0.78055556 0.78055556 0.93888889 0.93888889
 0.94166667 0.94166667 0.94722222 0.94722222 0.95277778 0.95277778
 0.96111111 0.96111111 0.97777778 0.97777778 0.98333333 0.98333333
 0.98611111 0.98611111 0.98888889 0.98888889 0.99166667 0.99166667
 0.99722222 0.99722222 1.         1.        ]","[0.         0.19444444 0.31111111 0.31944444 0.325      0.33611111
 0.33888889 0.35833333 0.375      0.38055556 0.39166667 0.39444444
 0.4        0.40555556 0.41111111 0.43611111 0.44166667 0.45555556
 0.46111111 0.46666667 0.46944444 0.47777778 0.48888889 0.5
 0.53055556 0.53611111 0.55833333 0.56388889 0.57222222 0.58888889
 0.59722222 0.61388889 0.61944444 0.63055556 0.63611111 0.64444444
 0.64444444 0.65       0.67777778 0.68333333 0.70833333 0.71111111
 0.71666667 0.73333333 0.74722222 0.75       0.75555556 0.82777778
 0.83333333 0.88333333 0.88333333 0.89166667 0.89166667 0.93055556
 0.93055556 0.93888889 0.93888889 0.96388889 0.96388889 0.96666667
 0.96666667 0.97222222 0.97222222 0.975      0.975      0.97777778
 0.97777778 0.98333333 0.98333333 0.98611111 0.98611111 0.98888889
 0.98888889 0.98888889 0.98888889 0.98888889 0.98888889 0.99166667
 0.99166667 0.99444444 0.99444444 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]","[0.         0.00277778 0.90833333 0.90833333 0.95555556 0.95555556
 0.96944444 0.96944444 0.98333333 0.98333333 0.98611111 0.98611111
 0.98888889 0.98888889 0.99166667 0.99166667 0.99722222 0.99722222
 1.         1.        ]"
0.9985690235690236,0.9966540404040405,0.9950494528619529,0.9977693602693603
