SVM,GB
"[0.         0.         0.         0.00320513 0.00320513 0.00641026
 0.00641026 0.01282051 0.01282051 0.01602564 0.01602564 0.01923077
 0.01923077 0.0224359  0.0224359  0.02564103 0.02564103 0.02884615
 0.02884615 0.03205128 0.03205128 0.04166667 0.04166667 0.04807692
 0.04807692 0.05769231 0.05769231 0.06089744 0.06089744 0.06730769
 0.06730769 0.07051282 0.07051282 0.08012821 0.08012821 0.08333333
 0.08333333 0.08974359 0.08974359 0.09294872 0.09294872 0.09935897
 0.09935897 0.11858974 0.11858974 0.12179487 0.12179487 0.17948718
 0.17948718 0.25       0.25       0.32692308 0.32692308 1.        ]","[0.         0.         0.         0.00320513 0.00320513 0.00641026
 0.00641026 0.00961538 0.00961538 0.02564103 0.02564103 0.02884615
 0.02884615 0.03846154 0.03846154 0.04166667 0.04166667 0.04807692
 0.04807692 0.05128205 0.05128205 0.06410256 0.06410256 0.07371795
 0.07371795 0.07692308 0.07692308 0.08653846 0.08653846 0.10576923
 0.10576923 0.13461538 0.13461538 0.17307692 0.17307692 0.17948718
 0.17948718 0.18910256 0.18910256 0.23397436 0.23397436 0.25641026
 0.25641026 0.33333333 0.33333333 0.36858974 0.36858974 1.        ]"
"[0.         0.00320513 0.61217949 0.61217949 0.71794872 0.71794872
 0.77564103 0.77564103 0.83974359 0.83974359 0.85897436 0.85897436
 0.87179487 0.87179487 0.88461538 0.88461538 0.90705128 0.90705128
 0.91346154 0.91346154 0.91987179 0.91987179 0.92628205 0.92628205
 0.93269231 0.93269231 0.93589744 0.93589744 0.93910256 0.93910256
 0.94230769 0.94230769 0.94871795 0.94871795 0.95512821 0.95512821
 0.95833333 0.95833333 0.96153846 0.96153846 0.97435897 0.97435897
 0.98397436 0.98397436 0.98717949 0.98717949 0.99038462 0.99038462
 0.99358974 0.99358974 0.99679487 0.99679487 1.         1.        ]","[0.         0.00320513 0.61858974 0.61858974 0.82692308 0.82692308
 0.90705128 0.90705128 0.92307692 0.92307692 0.92628205 0.92628205
 0.93269231 0.93269231 0.93589744 0.93589744 0.93910256 0.93910256
 0.94230769 0.94230769 0.94551282 0.94551282 0.94871795 0.94871795
 0.95192308 0.95192308 0.95512821 0.95512821 0.95833333 0.95833333
 0.96794872 0.96794872 0.97115385 0.97115385 0.9775641  0.9775641
 0.98397436 0.98397436 0.98717949 0.98717949 0.99038462 0.99038462
 0.99358974 0.99358974 0.99679487 0.99679487 1.         1.        ]"
0.9886279585798817,0.9887204142011835
