LG,RF,DTB,AB
0.9759615384615384,0.9615384615384616,0.9503205128205128,0.8894230769230769
0.9760108359217332,0.9616793462947308,0.9505499509142166,0.8893948482570653
"[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.01515152 0.01515152 0.01893939
 0.01893939 0.02272727 0.02272727 0.03787879 0.03787879 0.04545455
 0.04545455 0.06818182 0.06818182 0.07954545 0.07954545 1.        ]","[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.01515152 0.01515152 0.01893939
 0.01893939 0.02651515 0.02651515 0.03030303 0.03030303 0.03409091
 0.03409091 0.04166667 0.04166667 0.04545455 0.04545455 0.05681818
 0.05681818 0.08712121 0.08712121 0.10227273 0.10227273 0.15151515
 0.15151515 1.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00378788 0.00378788 0.00757576 0.00757576
 0.01136364 0.01136364 0.01515152 0.01515152 0.01893939 0.01893939
 0.02651515 0.02651515 0.03030303 0.03030303 0.03409091 0.03409091
 0.03787879 0.03787879 0.04166667 0.04166667 0.05681818 0.05681818
 0.07954545 0.07954545 0.08712121 0.08712121 0.09090909 0.09090909
 0.16666667 0.16666667 1.        ]",[0.         0.13257576 1.        ]
"[0.         0.00277778 0.84444444 0.84444444 0.96388889 0.96388889
 0.96666667 0.96666667 0.98055556 0.98055556 0.98333333 0.98333333
 0.98611111 0.98611111 0.98888889 0.98888889 0.99166667 0.99166667
 0.99444444 0.99444444 0.99722222 0.99722222 1.         1.        ]","[0.         0.00277778 0.77222222 0.77222222 0.91944444 0.91944444
 0.92222222 0.92222222 0.95277778 0.95277778 0.95555556 0.95555556
 0.96666667 0.96666667 0.97222222 0.97222222 0.975      0.975
 0.97777778 0.97777778 0.98333333 0.98333333 0.98611111 0.98611111
 0.98888889 0.98888889 0.99166667 0.99166667 0.99444444 0.99444444
 1.         1.        ]","[0.         0.00277778 0.00833333 0.09722222 0.1        0.10833333
 0.11111111 0.12222222 0.15833333 0.16666667 0.17222222 0.18333333
 0.18888889 0.2        0.20555556 0.22222222 0.22777778 0.23611111
 0.25555556 0.28333333 0.29444444 0.325      0.33333333 0.38055556
 0.38611111 0.65277778 0.65277778 0.86666667 0.86666667 0.89722222
 0.89722222 0.94444444 0.94444444 0.94722222 0.94722222 0.96111111
 0.96111111 0.96388889 0.96388889 0.96666667 0.96666667 0.975
 0.975      0.98055556 0.98055556 0.98611111 0.98611111 0.98888889
 0.98888889 0.99166667 0.99166667 0.99444444 0.99444444 0.99722222
 0.99722222 1.         1.        ]",[0.         0.90555556 1.        ]
0.9985690235690236,0.9966119528619529,0.9958964646464646,0.8864898989898989
